2q	Etiqueta 1	Etiqueta 2	Etiqueta 3	Resumen pregunta	Link etiqueta 2	keyword1	keyword2	keyword3	keyword4	keyword5	Pregunta	Respuesta	Fuente
24	Diabetes	Diabetes Gestacional	Diagnosticos DG	¿ Como se Diagnostica la Diabetes Gestacional?	http://www.diabetes.org/es/informacion-basica-de-la-diabetes/diabetes-gestacional/?loc=db-es-slabnav						¿Cómo se diagnostica la diabetes gestacional?	Probablemente se le realizarán pruebas de detección de la diabetes gestacional entre las Semanas 24 y 28 de su embarazo.Si usted tiene mayores probabilidades de contraer diabetes gestacional, es posible que su médico le realice pruebas de detección de la diabetes durante la primera visita después de que quede embarazada.Los médicos usan análisis de sangre para diagnosticar la diabetes gestacional. Todos los análisis de sangre para detectar la diabetes involucran extraer sangre en un consultorio médico o una instalación comercial. Puede ser una Prueba de tolerancia a la glucosa,Glicemia en ayuanas o un test de hemoglobina glicosilada	niddk.nih.gov
27	Diabetes	Diabetes Gestacional	Complicaciones del Bebe y D.G		http://www.diabetes.org/es/informacion-basica-de-la-diabetes/diabetes-gestacional/?loc=db-es-slabnav						Después de tener a mi bebé, ¿cómo puedo averiguar si todavía tengo diabetes?	Deberá visitar a su médico para realizarse una prueba de glucosa en sangre entre 6 y 12 semanas después de que haya nacido su bebé, a fin de determinar si usted todavía tiene diabetes. Para la mayoría de las mujeres, los niveles de glucosa en sangre regresan a los valores normales después del embarazo.Sin embargo, en el 5 al 10 por ciento de las mujeres con diabetes gestacional, los niveles de glucosa en sangre no regresan a los valores normales. 	niddk.nih.gov
28	Diabetes	Diabetes Gestacional	Diagnosticos DG	Uroanalisis y Diabetes Gestacional	http://www.diabetes.org/es/informacion-basica-de-la-diabetes/diabetes-gestacional/?loc=db-es-slabnav						¿Por medio del uroanálisis se puede detectar si una mujer embarazada tiene de Diabetes Gestacional?	Si sale Glucosa en la orina (glucosuria) en el analisis de orina, es un hallazgo que sugiere alteraciones en el azúcar, sin embargo el diagnóstico se debe hacer con un análisis de sangre,Los médicos usan análisis de sangre para diagnosticar la diabetes gestacional. Todos los análisis de sangre para detectar la diabetes involucran extraer sangre en un consultorio médico o una instalación comercial. Puede ser una Prueba de tolerancia a la glucosa,Glicemia en ayuanas o un test de hemoglobina glicosilada.	niddk.nih.gov
131	Diabetes	Diabetes Gestacional	Pronosticos D.G	¿ Cuando?	http://www.diabetes.org/es/informacion-basica-de-la-diabetes/diabetes-gestacional/?loc=db-es-slabnav	gestación					¿La diabetes gestacional solo la sufriré durante el periodo de gestación?	Deberá visitar a su médico para realizarse una prueba de glucosa en sangre entre 6 y 12 semanas después de que haya nacido su bebé, a fin de determinar si usted todavía tiene diabetes. Para la mayoría de las mujeres, los niveles de glucosa en sangre regresan a los valores normales después del embarazo.Sin embargo, en el 5 al 10 por ciento de las mujeres con diabetes gestacional, los niveles de glucosa en sangre no regresan a los valores normales. 	niddk.nih.gov
144	Diabetes	Diabetes Gestacional	Pronosticos D.G	Probabilidades de tener Diabetes Gestacional	http://www.diabetes.org/es/informacion-basica-de-la-diabetes/diabetes-gestacional/?loc=db-es-slabnav						Si tengo antecedentes familiares diabéticos, ¿tengo más riesgo de tener diabetes durante el embarazo?	Sus probabilidades de contraer diabetes gestacional son más altas si,tiene sobrepeso, ha tenido diabetes gestacional antes, ha dado a luz a un bebé con un peso mayor de 9 libras, su madre, su padre, su hermano o su hermana tiene diabetes tipo 2, tiene prediabetes, lo cual significa que sus niveles de glucosa en sangre son más altos de lo normal, pero no lo suficiente para un diagnóstico de diabetes,es afroamericana, indígena americana, asiática americana, hispana/latina o americana de las islas del Pacífico,tiene un trastorno hormonal denominado síndrome de ovario poliquístico, también conocido como PCOS (polycystic ovary syndrome) . Si los factores de riesgo son :tener antecedentes familiares de diabetes o situaciones que se asocian con resistencia a la insulina (hipertensión, hiperlipemia, obesidad, ovarios polimicroquísticos, acantosis nigricans). como haber presentado diabetes gestacional en un embarazo anterior, abortos de repeticion, 	fundaciondiabetes.org
151	Diabetes	Diabetes Gestacional	Definiciones de D.G	¿ Por que se produce la Diabetes Gestacional?	http://www.diabetes.org/es/informacion-basica-de-la-diabetes/diabetes-gestacional/?loc=db-es-slabnav						¿Me podrían hablar por qué se produce la diabetes gestacional?	Esto ocurre porque las hormonas que se producen en esta etapa bloquean el trabajo de la insulina, por lo que los niveles de glucosa crecen en la sangre.La DMG de diabetes que consiste en altos niveles de glucosa en sangre durante el embarazo. Se desarrolla en uno de cada 25 mujeres embarazAdas en todo el mundo y está asociada con complicaciones para la madre y el bebé. La Diabetes Mellitus Gestacional (DMG) generalmente desaparece después del embarazo, pero las mujeres con DMG y sus hijos corren un riesgo mayor de desarrollar diabetes tipo 2 más adelante en la vida.	idf.org
4	Diabetes	Informacion General y Diabetes	Diabetes Tipo 1			tipo 1	tipo I				Diabetes tipo 1	Antes era conocida como Diabetes Juvenil. Generalmente es causada por una reacción autoinmune (reacción donde el propio cuerpo ataca las celulas)  en la que el sistema de defensa del cuerpo ataca las células que producen insulina (hormona que ayuda al buen uso de la glucosa), aun no se conoce las razones por las que ocurre. Las personas con diabetes tipo 1 producen muy poca o ninguna insulina. Ocurre en personas de cualquier edad pero principalmente en niños o jovenes.Los pacientes que poseen esta enfermedad requieren inyectarse insulina de manera externa todos los días para controlar su enfermdad. 	idf.org
5	Diabetes	Informacion General y Diabetes	Diabetes Tipo 1								¿Qué es la Diabetes Tipo 1?	Antes era conocida como Diabetes Juvenil. Generalmente es causada por una reacción autoinmune (reacción donde el propio cuerpo ataca las celulas)  en la que el sistema de defensa del cuerpo ataca las células que producen insulina (hormona que ayuda al buen uso de la glucosa), aun no se conoce las razones por las que ocurre. Las personas con diabetes tipo 1 producen muy poca o ninguna insulina. Ocurre en personas de cualquier edad pero principalmente en niños o jovenes.Los pacientes que poseen esta enfermedad requieren inyectarse insulina de manera externa todos los días para controlar su enfermdad. 	idf.org
127	Diabetes	Informacion General y Diabetes	Diabetes Tipo 1								¿La diabetes de tipo 1 que afecta a los niños desaparece en la edad adulta o se transforma en diabetes tipo 2?	Antes era conocida como Diabetes Juvenil.En la diabetes tipo 1, las células pancreáticas productoras de insulina se destruyen. Y, una vez destruidas, no vuelven a fabricar insulina nunca más.y continuan el resto de su vida con la enfermedad  Los pacientes diabetes tipo 2 es otra clasificacion y origen de la enfermedad, en los pacientes tipo 2 pueden percibir mejoras en sus concentraciones de azúcar en sangre después de la pubertad o de introducir cambios en su estilo de vida, lo más probable es que siempre sean proclives a tener concentraciones elevadas de azúcar en sangre, sobre todo si llevan vidas físicamente inactivas o ganan demasiado peso	idf.org
136	Diabetes	Informacion General y Diabetes	Diabetes Tipo 1								¿Qué enfermedades cardiovasculares puede presentar un paciente con diabetes mellitus tipo 1?	Si usted tiene diabetes o prediabetes, presenta un mayor riesgo de enfermedad cardíaca relacionada con esta. Las enfermedades cardíacas relacionadas con la diabetes pueden ser: enfermedad coronaria, insuficiencia cardíaca y cardiomiopatía diabética.	nih.org
6	Diabetes	Informacion General y Diabetes	Diabetes Tipo 2			tipo 2	tipo II				Diabetes Tipo 2	Antes era Conocida como no-insulino dependiente o diabetes del adulto, representa como mínimo el 90% de todos los casos de diabetes.Se caracteriza por una resistencia a la insulina (hormona que ayuda al buen uso de la glucosa), por una relativa deficiencia de insulina o por ambas cosas a la vez.El diagnóstico de la diabetes tipo 2 puede ocurrir a cualquier edad. La diabetes tipo 2 puede permanecer sin ser detectada durante muchos años.está asociada con el sobrepeso o la obesidad, que pueden provocar resistencia a la insulina y conducir a altos niveles de glucosa en sangre. Inicialmente su puede tratar mediante ejercicio y dieta. Sin embargo, con el tiempo la mayoría de las personas requieren medicación oral o insulina. 	idf.org
7	Diabetes	Informacion General y Diabetes	Diabetes Tipo 2								¿Qué es la Diabetes Tipo 2?	Antes era Conocida como no-insulino dependiente o diabetes del adulto, representa como mínimo el 90% de todos los casos de diabetes.Se caracteriza por una resistencia a la insulina (hormona que ayuda al buen uso de la glucosa), por una relativa deficiencia de insulina o por ambas cosas a la vez.El diagnóstico de la diabetes tipo 2 puede ocurrir a cualquier edad. La diabetes tipo 2 puede permanecer sin ser detectada durante muchos años.está asociada con el sobrepeso o la obesidad, que pueden provocar resistencia a la insulina y conducir a altos niveles de glucosa en sangre. Inicialmente su puede tratar mediante ejercicio y dieta. Sin embargo, con el tiempo la mayoría de las personas requieren medicación oral o insulina. 	idf.org
135	Diabetes	Informacion General y Diabetes	Diabetes Tipo 2								¿Cómo se detecta la diabetes de tipo 2 en pacientes jóvenes?	Hoy en día, más personas jóvenes tienen diabetes tipo 2 los sintomas pueden ser Constante necesidad de orinar Sed inusual Hambre extrema Pérdida inusual de peso Fatiga e irritabilidad extremas,Infecciones frecuentes Visión borrosa Cortes/moretones que tardan en sanar Hormigueo o entumecimiento en las manos o los pies Infecciones recurrentes de la piel, encías o vejiga. Para estar 100% seguro se debe realizar un examen de sangre para confirmarlo	diabetes.org
146	Diabetes	Diabetes tipo 2									Me han diagnosticado diabetes tipo 2, ¿qué alimentos no puedo comer?	Metodo del Plato o contar carbohidratos	
152	Diabetes	Diabetes y deporte				corro	correr				Tengo diabetes tipo 2 controlada tengo 61 años corro 1 hora diaria, qué cuidados debo tener al correr	Antes de realizar la actividad física, Debes controlar tus niveles de glucosa, a partir de los valores obtenidos actuaremos de una manera o otra. Inferior a 100 mg/dl: tomar un suplemento de unos 15g de hidratos de carbono y retrasar el ejercicio 10-15 minutos.,Entre 100 y 250mg/dl: iniciar el ejercicio con normalidad Superior a 250mg/dl: comprobar niveles de cetona en sangre u orina. Si son positivos, retrasar el ejercicio hasta que estén normalizados. En caso de estar controlando la diabetes con insulina  se debe ajustar la pauta con monitoreo del medico en función de la intensidad y tiempo de la actividad del ejercicio y de la misma manera controlar nuestra ingesta y liquidos mientras realizas la actividad	running.es
128	Diabetes	Diabetes y Huesos				ósea	huesos				¿La diabetes afecta a la salud ósea?	Estudios epidemiológicos y experimentales demuestran la existencia de una pérdida de masa ósea asociada a la diabetes de tipo 1. Esta pérdida parece estar mediada por diversos factores endocrinos y/o locales, entre los que se incluyen: la insulina, el factor similar a la insulina tipo 1 (IGF-1), péptidos pancreáticos (amilina, leptina y preptina), hormonas intestinales (GLP-1 y GLP-2) y la vitamina D. Sin embargo, en la diabetes tipo 2 no existen datos concluyentes que la relacionen con una disminución de la masa ósea	elsevier.es
139	Diabetes	Dental y Diabetes			http://www.diabetes.org/es/vivir-con-diabetes/tratamiento-y-cuidado/higiene-y-salud-bucal/?loc=lwd-es-slabnav?referrer=http://www.diabetes.org/es/informacion-basica-de-la-diabetes/diabetes-gestacional/?loc=db-es-slabnav	encías	encía				¿Es cierto que los niños pequeños con diabetes son propensos a tener problemas de encías?	Si su nivel de glucosa en la sangre no está bien controlado, tendrá mayor probabilidad de tener una enfermedad avanzada en las encías y perder más dientes que las personas sin diabetes. Como con todas las infecciones, una enfermedad avanzada en las encías puede ser un factor que causa el aumento de la glucosa y dificulta el control de la diabetes.	diabetes.org
153	Diabetes	Diagnostico de Diabetes	Test de Diagnosticos	Que es el test de tolerancia a la Glucosa	http://www.diabetes.org/es/informacion-basica-de-la-diabetes/diagnstico.html?loc=db-es-slabnav						Test de Tolerancia a la Glucosa	Es una prueba de dos horas que mide su nivel de glucosa en la sangre antes de beber una bebida dulce especial y 2 horas después de tomarla. Le indica a su médico cómo el cuerpo procesa la glucosa. Se diagnostica diabetes cuando: Glucosa en la sangre a las 2 horas ≥ 200 mg/dl	diabetes.org
154	Diabetes	Diagnostico de Diabetes	Test de Diagnosticos	Que es el test de tolerancia a la Glucosa	http://www.diabetes.org/es/informacion-basica-de-la-diabetes/diagnstico.html?loc=db-es-slabnav						Que es el test de tolerancia a la Glucosa	Es una prueba de dos horas que mide su nivel de glucosa en la sangre antes de beber una bebida dulce especial y 2 horas después de tomarla. Le indica a su médico cómo el cuerpo procesa la glucosa. Se diagnostica diabetes cuando: Glucosa en la sangre a las 2 horas ≥ 200 mg/dl	diabetes.org
155	Diabetes	Diagnostico de Diabetes			http://www.diabetes.org/es/informacion-basica-de-la-diabetes/diagnstico.html?loc=db-es-slabnav	insulinemia					Curva de Insulinemia		diabetes.org
158	Diabetes	Diagnostico de Diabetes	Test de Diagnosticos	Que es la Hemoglobina Glicosilada	http://www.diabetes.org/es/informacion-basica-de-la-diabetes/diagnstico.html?loc=db-es-slabnav	Hemoglobina Glicosilada					Hemoglobina Glicosilada	La hemoglobina es una proteína que tiene la función de transportar el oxígeno de los pulmones La glucosa se une a la hemoglobina para formar hemoglobina glucosilada o hemoglobina A1c, esta unión se mantiene hasta que el glóbulo rojo es desechado, lo cual ocurre en aproximadamente 120 días los tejidos  por lo que la HbA1c  la glucosa unida a la hemoglobina utiliza para medir nivel promedio de glucosa en la sangre durante los últimos 2 o 3 meses. Las ventajas de recibir un diagnóstico de esta manera es que no tiene que ayunar ni beber nada.Se diagnostica diabetes cuando: A1C ≥ 6.5%	diabetes.org
159	Diabetes	Diagnostico de Diabetes	Test de Diagnosticos	Que es la Hemoglobina Glicosilada	http://www.diabetes.org/es/informacion-basica-de-la-diabetes/diagnstico.html?loc=db-es-slabnav						Que es la Hemoglobina Glicosilada	La hemoglobina es una proteína que tiene la función de transportar el oxígeno de los pulmones La glucosa se une a la hemoglobina para formar hemoglobina glucosilada o hemoglobina A1c, esta unión se mantiene hasta que el glóbulo rojo es desechado, lo cual ocurre en aproximadamente 120 días los tejidos  por lo que la HbA1c  la glucosa unida a la hemoglobina utiliza para medir nivel promedio de glucosa en la sangre durante los últimos 2 o 3 meses. Las ventajas de recibir un diagnóstico de esta manera es que no tiene que ayunar ni beber nada.Se diagnostica diabetes cuando: A1C ≥ 6.5%	diabetes.org
160	Diabetes	Diagnostico de Diabetes	Test de Diagnosticos	Que es la Hemoglobina Glicosilada	http://www.diabetes.org/es/informacion-basica-de-la-diabetes/diagnstico.html?loc=db-es-slabnav	HbA1c					HbA1c	La hemoglobina es una proteína que tiene la función de transportar el oxígeno de los pulmones La glucosa se une a la hemoglobina para formar hemoglobina glucosilada o hemoglobina A1c, esta unión se mantiene hasta que el glóbulo rojo es desechado, lo cual ocurre en aproximadamente 120 días los tejidos  por lo que la HbA1c  la glucosa unida a la hemoglobina utiliza para medir nivel promedio de glucosa en la sangre durante los últimos 2 o 3 meses. Las ventajas de recibir un diagnóstico de esta manera es que no tiene que ayunar ni beber nada.Se diagnostica diabetes cuando: A1C ≥ 6.5%	diabetes.org
161	Diabetes	Diagnostico de Diabetes	Test de Diagnosticos	Que es la Hemoglobina Glicosilada	http://www.diabetes.org/es/informacion-basica-de-la-diabetes/diagnstico.html?loc=db-es-slabnav						Que es la HbA1c	La hemoglobina es una proteína que tiene la función de transportar el oxígeno de los pulmones La glucosa se une a la hemoglobina para formar hemoglobina glucosilada o hemoglobina A1c, esta unión se mantiene hasta que el glóbulo rojo es desechado, lo cual ocurre en aproximadamente 120 días los tejidos  por lo que la HbA1c  la glucosa unida a la hemoglobina utiliza para medir nivel promedio de glucosa en la sangre durante los últimos 2 o 3 meses. Las ventajas de recibir un diagnóstico de esta manera es que no tiene que ayunar ni beber nada.Se diagnostica diabetes cuando: A1C ≥ 6.5%	diabetes.org
162	Diabetes	Diagnostico de Diabetes	Test de Diagnosticos	Que es la Hemoglobina Glicosilada	http://www.diabetes.org/es/informacion-basica-de-la-diabetes/diagnstico.html?loc=db-es-slabnav	Que es la A1c					Que es la A1c	La hemoglobina es una proteína que tiene la función de transportar el oxígeno de los pulmones La glucosa se une a la hemoglobina para formar hemoglobina glucosilada o hemoglobina A1c, esta unión se mantiene hasta que el glóbulo rojo es desechado, lo cual ocurre en aproximadamente 120 días los tejidos  por lo que la HbA1c  la glucosa unida a la hemoglobina utiliza para medir nivel promedio de glucosa en la sangre durante los últimos 2 o 3 meses. Las ventajas de recibir un diagnóstico de esta manera es que no tiene que ayunar ni beber nada.Se diagnostica diabetes cuando: A1C ≥ 6.5%	diabetes.org
163	Diabetes	Diagnostico de Diabetes	Test de Diagnosticos	Que es la Hemoglobina Glicosilada	http://www.diabetes.org/es/informacion-basica-de-la-diabetes/diagnstico.html?loc=db-es-slabnav						A1c	La hemoglobina es una proteína que tiene la función de transportar el oxígeno de los pulmones La glucosa se une a la hemoglobina para formar hemoglobina glucosilada o hemoglobina A1c, esta unión se mantiene hasta que el glóbulo rojo es desechado, lo cual ocurre en aproximadamente 120 días los tejidos  por lo que la HbA1c  la glucosa unida a la hemoglobina utiliza para medir nivel promedio de glucosa en la sangre durante los últimos 2 o 3 meses. Las ventajas de recibir un diagnóstico de esta manera es que no tiene que ayunar ni beber nada.Se diagnostica diabetes cuando: A1C ≥ 6.5%	diabetes.org
101	Diabetes	Disfuncion Sexual	Disfunción erectil en Hombres	Tratamiento de la disfunción erectil y diabetes	http://www.diabetes.org/es/vivir-con-diabetes/tratamiento-y-cuidado/la-salud-del-hombre/disfuncin-erctil.html	erectil					Tratamiento de la disfunción erectil y diabetes	La clave de un tratamiento eficaz de la disfunción eréctil en varones con diabetes yace en el control adecuado de la glucosa mediante la modificación del estilo de vida (dieta y ejercicio), el cese del tabaquismo y el uso apropiado de la medicación oral y la insulina. Una vez que la disfunción eréctil es persistente y grave, podría responder al mismo tratamiento que la disfunción eréctil de origen no diabético.	diabetes.org
108	Diabetes	Disfuncion Sexual	Disfunción erectil en mujeres	Existe problemas sexuales y diabetes en la mujer	http://www.diabetes.org/es/vivir-con-diabetes/tratamiento-y-cuidado/la-salud-del-hombre/disfuncin-erctil.html	sexuales	sexual				Existe problemas sexuales y diabetes en la mujer	 La sexualidad femenina y diabetes indicó que las mujeres con diabetes afrontaban una serie de complicaciones relativas a la actividad sexual. Aunque no se observaba un aumento de los problemas de las mujeres para alcanzar el orgasmo, aumentaba el riesgo de una disminución de la excitación sexual, con una lubricación lenta y/o inadecuada, una reducción del deseo sexual y una probabilidad de que aumentase el dolor durante la penetración	idf.org
53	Diabetes	Disfuncion Sexual			http://www.diabetes.org/es/vivir-con-diabetes/tratamiento-y-cuidado/la-salud-del-hombre/disfuncin-erctil.html						¿ existe relación entre la diabetes y la disfunción erectil?	Si ,La diabetes los altos niveles de insulina que pueden desencadenar en una diabetes posterior son  uno de los principales factores de riesgo de dificultades sexuales en los varones. Éstas suelen manifestarseen forma de disfunción eréctil, en la cual los hombres experimentan una incapacidad persistente de conseguir o mantener una erección suficiente para desarrollar la actividad sexual de manera satisfactoria	idf.org
133	Diabetes	Ejercicio y Diabetes				deporte					Tengo diabetes y me han recomendado hacer deporte para no desarrollar otras enfermedades como la insuficiencia renal. ¿Por qué? ¿Qué tipo?	¡Hacer ejercicio es importante para todos, tengan o no tengan diabetes! El ejercicio tiene muchas ventajas para pacientes con diabetes. Les ayuda a controlar el peso y les impide ganar demasiada grasa corporal. También les mejora la salud cardiovascular, les levanta el ánimo, les alivia el estrés y les ayuda a controlar las concentraciones de azúcar en sangre. Debido a controlar los niveles de glicemia en la sangre previene y retarda las complicaciones de todo tipo	
130	Diabetes	Complicaciones diabetes				glaucoma					Glaucoma y Diabetes	El glaucoma es un grupo de enfermedades que pueden dañar al nervio óptico del ojo. Esto resulta en alguna pérdida de la visión o en ceguera.Se pueden desarrollar como resultado de complicaciones de otros problemas médicos.El glaucoma neovascular es un tipo de glaucoma muy severo que está relacionado con la diabetes. 	nei.nih.gov
77	Diabetes	Hipoglicemia				Hipoglicemia					Hipoglicemia	El término médico para el azúcar bajo en la sangre es hipoglucemia, es una condición que ocurre cuando el azúcar en la sangre del cuerpo (glucosa) disminuye y es demasiado bajo.El azúcar en la sangre por debajo de 70 mg/dL se considera bajo. El azúcar sanguíneo a este nivel o por debajo puede ser dañino. los principales sintomas son temblor, sudoración y palpitaciones	medlineplus.gov/
78	Diabetes	Hipoglicemia									Que es la hipoglicemia	El término médico para el azúcar bajo en la sangre es hipoglucemia, es una condición que ocurre cuando el azúcar en la sangre del cuerpo (glucosa) disminuye y es demasiado bajo.El azúcar en la sangre por debajo de 70 mg/dL se considera bajo. El azúcar sanguíneo a este nivel o por debajo puede ser dañino. los principales sintomas son temblor, sudoración y palpitaciones	medlineplus.gov/
79	Diabetes	Hipoglicemia			http://www.diabetes.org/es/vivir-con-diabetes/tratamiento-y-cuidado/el-control-de-la-glucosa-en-la-sangre/hipoglucemia.html?loc=lwd-es-slabnav?referrer=http://www.diabetes.org/es/vivir-con-diabetes/complicaciones/complicaciones-en-los-pies.html?loc=lwd-es-slabnav	Hipoglicemia Asintomatico	Hipoglicemia Asintomatica				Hipoglicemia Asintomatico	Cuando las concentraciones de glucosa en la sangre caen por debajo de 70 mg/dL Corresponde a una hipoglicemia,a menudo síntomas como temblor, sudoración y palpitaciones. En las personas con neuropatía autónoma, es posible que estos síntomas no estén presentes, haciendo que la hipoglucemia sea difícil de detectar. Además de la neuropatía, existen otros problemas que pueden causar la hipoglucemia asintomática	niddk.nih.gov
80	Diabetes	Hipoglicemia			http://www.diabetes.org/es/vivir-con-diabetes/tratamiento-y-cuidado/el-control-de-la-glucosa-en-la-sangre/hipoglucemia.html?loc=lwd-es-slabnav?referrer=http://www.diabetes.org/es/vivir-con-diabetes/complicaciones/complicaciones-en-los-pies.html?loc=lwd-es-slabnav						Que es la Hipoglicemia Asintomatica	Cuando las concentraciones de glucosa en la sangre caen por debajo de 70 mg/dL Corresponde a una hipoglicemia,a menudo síntomas como temblor, sudoración y palpitaciones. En las personas con neuropatía autónoma, es posible que estos síntomas no estén presentes, haciendo que la hipoglucemia sea difícil de detectar. Además de la neuropatía, existen otros problemas que pueden causar la hipoglucemia asintomática	niddk.nih.gov
81	Diabetes	Hipoglicemia			http://www.diabetes.org/es/vivir-con-diabetes/tratamiento-y-cuidado/el-control-de-la-glucosa-en-la-sangre/hipoglucemia.html?loc=lwd-es-slabnav?referrer=http://www.diabetes.org/es/vivir-con-diabetes/complicaciones/complicaciones-en-los-pies.html?loc=lwd-es-slabnav						Cuales son los principales sintomas de la hipoglicemia	 Los sintomas  pueden ser algunos de los siguientes: Visión doble o borrosa,Latidos cardíacos rápidos o fuertes,Sentirse irritable o actuar agresivo, Sentirse nervioso, Dolor de cabeza,Apetito,Estremecimiento o temblores,Dificultad para dormir,Sudoración,Hormigueo o entumecimiento de la piel,Cansancio o debilidad,Sueño intranquilo,Pensamiento confuso el azúcar en la sangre puede estar demasiado bajo y llegar a desmayarse, tener convulsiones o llegar al coma	medlineplus.gov/
82	Diabetes	Hipoglicemia			http://www.diabetes.org/es/vivir-con-diabetes/tratamiento-y-cuidado/el-control-de-la-glucosa-en-la-sangre/hipoglucemia.html?loc=lwd-es-slabnav?referrer=http://www.diabetes.org/es/vivir-con-diabetes/complicaciones/complicaciones-en-los-pies.html?loc=lwd-es-slabnav						Sintomas de la Hipoglicemia	Los sintomas  pueden ser algunos de los siguientes: Visión doble o borrosa,Latidos cardíacos rápidos o fuertes,Sentirse irritable o actuar agresivo, Sentirse nervioso, Dolor de cabeza,Apetito,Estremecimiento o temblores,Dificultad para dormir,Sudoración,Hormigueo o entumecimiento de la piel,Cansancio o debilidad,Sueño intranquilo,Pensamiento confuso el azúcar en la sangre puede estar demasiado bajo y llegar a desmayarse, tener convulsiones o llegar al coma	medlineplus.gov/
83	Diabetes	Hipoglicemia			http://www.diabetes.org/es/vivir-con-diabetes/tratamiento-y-cuidado/el-control-de-la-glucosa-en-la-sangre/hipoglucemia.html?loc=lwd-es-slabnav?referrer=http://www.diabetes.org/es/vivir-con-diabetes/complicaciones/complicaciones-en-los-pies.html?loc=lwd-es-slabnav						Causas de la Hipoglicemia	La hipoglucemia ocurre debido a cualquiera de los siguientes factores: El azúcar (glucosa) del cuerpo se agota con demasiada rapidez.,La glucosa es liberada en el torrente sanguíneo con demasiada lentitud.Se libera demasiada insulina en el torrente sanguíneo.,La hipoglucemia es común en personas con diabetes que están tomando insulina u otros medicamentos para controlar esta enfermedad.Los bebés que nacen de madres con diabetes pueden tener caídas drásticas del nivel de azúcar en la sangre.En personas que no tienen diabetes, la hipoglucemia puede ser causada por: Consumo de alcohol. Insulinoma, un raro tumor del páncreas, que produce demasiada insulina. Falta o deficiencia de una hormona, como cortisol, hormona de crecimiento, o hormona tiroidea. Insuficiencia cardíaca, renal o hepática grave. Infección que afecta todo el cuerpo. Algunos tipos de cirugía para bajar de peso. 	medlineplus.gov/
84	Diabetes	Hipoglicemia			http://www.diabetes.org/es/vivir-con-diabetes/tratamiento-y-cuidado/el-control-de-la-glucosa-en-la-sangre/hipoglucemia.html?loc=lwd-es-slabnav?referrer=http://www.diabetes.org/es/vivir-con-diabetes/complicaciones/complicaciones-en-los-pies.html?loc=lwd-es-slabnav						Tratamiento de la Hipoglicemia	Verifique su nivel de azúcar en la sangre siempre que tenga síntomas de hipoglucemia. Si su nivel de azúcar en la sangre está por debajo de 70 mg/dL, trátese inmediatamente.El tratamiento depende de la causa. Las personas con diabetes necesitarán aprender cómo tratar y prevenir los bajos niveles de azúcar en la sangre.Coma algo que tengacarbohidratos.  jugo de fruta o refresco regular no dietético; 5 o 6 barras de caramelo; 1 cucharada (15 ml) de azúcar, sola o disuelta en agua; 1 cucharada (15 ml) de miel o jarabe.Espere aproximadamente 15 minutos antes de comer algo más. Esto puede causar hiperglucemia si aun persiste consulte a un servicio de urgencia. Si la hipoglucemia es causada por un insulinoma (tumor que secreta insulina), el mejor tratamiento es practicar una cirugía para extirpar el tumor.	medlineplus.gov/
85	Diabetes	Hipoglicemia			http://www.diabetes.org/es/vivir-con-diabetes/tratamiento-y-cuidado/el-control-de-la-glucosa-en-la-sangre/hipoglucemia.html?loc=lwd-es-slabnav?referrer=http://www.diabetes.org/es/vivir-con-diabetes/complicaciones/complicaciones-en-los-pies.html?loc=lwd-es-slabnav						¿Qué alimentos no debe consumir una persona con hipoglicemia?	Darle de comer o tomar que tengacarbohidratos. jugo de fruta o refresco regular no dietético; 5 o 6 barras de caramelo; 1 cucharada (15 ml) de azúcar, sola o disuelta en agua; 1 cucharada (15 ml) de miel o jarabe.Espere aproximadamente 15 minutos antes de repetirlo.Esto puede causar hiperglucemia.	
86	Diabetes	Hipoglicemia			http://www.diabetes.org/es/vivir-con-diabetes/tratamiento-y-cuidado/el-control-de-la-glucosa-en-la-sangre/hipoglucemia.html?loc=lwd-es-slabnav?referrer=http://www.diabetes.org/es/vivir-con-diabetes/complicaciones/complicaciones-en-los-pies.html?loc=lwd-es-slabnav						La hipoglicemia no tiene cura	Hay dos tipos de hipoglucemia no diabética: Hipoglucemia reactiva, que ocurre pocas horas después de comer Hipoglucemia basal o en ayunas, que puede estar relacionada con una enfermedad. El tratamiento depende de la causa de la hipoglucemia. Por ejemplo, si usted tiene un tumor, necesitará cirugía. Si un medicamento le está causando hipoglucemia, debe cambiar de medicamento. Para el tratamiento inmediato de un bajo nivel de glucosa en la sangre, asegúrese de comer o beber 15 gramos de carbohidratos (a manera de caramelos, jugo o tabletas de glucosa). Pregúntele a su médico o nutricionista si usted debe hacer cambios en su alimentación	hormone.org
